#Points:1	velocidad:0	velocidad:1
0	0	0
0.001	-0.001558599	3.88E-07
0.002	-0.003117198	7.76E-07
0.003	-0.004675797	1.16E-06
0.004	-0.006217502	1.88E-06
0.005	-0.00775076	2.76E-06
0.006	-0.009284018	3.63E-06
0.007	-0.01080934	4.54E-06
0.008	-0.0123188	5.50E-06
0.009	-0.01382826	6.46E-06
0.01	-0.01533771	7.42E-06
0.011	-0.01682484	8.08E-06
0.012	-0.01831197	8.74E-06
0.013	-0.0197991	9.41E-06
0.014	-0.02127229	9.63E-06
0.015	-0.02273852	9.65E-06
0.016	-0.02420474	9.66E-06
0.017	-0.02566445	9.35E-06
0.018	-0.02711112	8.39E-06
0.019	-0.0285578	7.43E-06
0.02	-0.03000448	6.47E-06
0.021	-0.03143294	4.25E-06
0.022	-0.0328614	2.03E-06
0.023	-0.03428985	-1.89E-07
0.024	-0.03570702	-3.42E-06
0.025	-0.03711854	-7.15E-06
0.026	-0.03853005	-1.09E-05
0.027	-0.03993634	-1.52E-05
0.028	-0.04133216	-2.07E-05
0.029	-0.04272798	-2.61E-05
0.03	-0.0441238	-3.16E-05
0.031	-0.04550513	-3.90E-05
0.032	-0.04688647	-4.64E-05
0.033	-0.0482678	-5.38E-05
0.034	-0.04964027	-6.26E-05
0.035	-0.05100829	-7.20E-05
0.036	-0.05237631	-8.15E-05
0.037	-0.05374029	-9.17E-05
0.038	-0.05509616	-0.000103354
0.039	-0.05645203	-0.000115015
0.04	-0.0578079	-0.000126676
0.041	-0.05915273	-0.000140612
0.042	-0.06049756	-0.000154549
0.043	-0.0618424	-0.000168485
0.044	-0.06318061	-0.000183972
0.045	-0.0645155	-0.000200233
0.046	-0.06585039	-0.000216493
0.047	-0.06718233	-0.000233534
0.048	-0.06850835	-0.000252134
0.049	-0.06983437	-0.000270735
0.05	-0.07116039	-0.000289335
0.051	-0.07247857	-0.000310256
0.052	-0.07379676	-0.000331178
0.053	-0.07511494	-0.000352099
0.054	-0.07642858	-0.000374534
0.055	-0.07773994	-0.000397726
0.056	-0.0790513	-0.000420918
0.057	-0.0803607	-0.00044484
0.058	-0.08166621	-0.000470221
0.059	-0.08297172	-0.000495602
0.06	-0.08427723	-0.000520983
0.061	-0.08557784	-0.000548441
0.062	-0.08687844	-0.0005759
0.063	-0.08817905	-0.000603358
0.064	-0.08947699	-0.000632108
0.065	-0.09077359	-0.000661504
0.066	-0.0920702	-0.000690899
0.067	-0.09336577	-0.000720885
0.068	-0.09465925	-0.00075205
0.069	-0.09595272	-0.000783214
0.07	-0.0972462	-0.000814379
0.071	-0.09853738	-0.00084712
0.072	-0.09982854	-0.00087986
0.073	-0.1011197	-0.000912601
0.074	-0.1024099	-0.000946247
0.075	-0.1036995	-0.000980346
0.076	-0.1049892	-0.001014445
0.077	-0.1062786	-0.001048916
0.078	-0.1075674	-0.001084133
0.079	-0.1088563	-0.001119349
0.08	-0.1101452	-0.001154566
0.081	-0.1114339	-0.001190639
0.082	-0.1127226	-0.001226712
0.083	-0.1140114	-0.001262786
0.084	-0.1153005	-0.001299244
0.085	-0.1165897	-0.001335894
0.086	-0.117879	-0.001372545
0.087	-0.1191686	-0.001409288
0.088	-0.1204589	-0.001446219
0.089	-0.1217492	-0.00148315
0.09	-0.1230395	-0.00152008
0.091	-0.1243314	-0.001556979
0.092	-0.1256233	-0.001593878
0.093	-0.1269151	-0.001630777
0.094	-0.1282083	-0.001667438
0.095	-0.1295022	-0.001703981
0.096	-0.130796	-0.001740523
0.097	-0.1320907	-0.001776835
0.098	-0.1333869	-0.001812685
0.099	-0.1346831	-0.001848535
0.1	-0.1359793	-0.001884385
0.101	-0.1372781	-0.001919197
0.102	-0.1385769	-0.001954009
0.103	-0.1398757	-0.001988821
0.104	-0.1411763	-0.002022707
0.105	-0.142478	-0.002056129
0.106	-0.1437796	-0.002089551
0.107	-0.1450822	-0.002122391
0.108	-0.1463867	-0.002154066
0.109	-0.1476912	-0.00218574
0.11	-0.1489958	-0.002217415
0.111	-0.1503033	-0.002246982
0.112	-0.1516108	-0.002276548
0.113	-0.1529183	-0.002306114
0.114	-0.1542277	-0.002334034
0.115	-0.1555381	-0.00236113
0.116	-0.1568485	-0.002388226
0.117	-0.1581598	-0.002414379
0.118	-0.1594729	-0.002438643
0.119	-0.1607861	-0.002462907
0.12	-0.1620992	-0.002487171
0.121	-0.1634149	-0.002508244
0.122	-0.1647305	-0.002529317
0.123	-0.1660462	-0.00255039
0.124	-0.1673633	-0.002569098
0.125	-0.1686812	-0.002586624
0.126	-0.169999	-0.00260415
0.127	-0.1713174	-0.002620377
0.128	-0.1726371	-0.002634007
0.129	-0.1739567	-0.002647636
0.13	-0.1752763	-0.002661266
0.131	-0.1765971	-0.002670657
0.132	-0.177918	-0.002680047
0.133	-0.1792388	-0.002689438
0.134	-0.1805601	-0.00269578
0.135	-0.1818816	-0.002700597
0.136	-0.1832031	-0.002705415
0.137	-0.1845246	-0.002708601
0.138	-0.185846	-0.002708522
0.139	-0.1871675	-0.002708444
0.14	-0.1884889	-0.002708365
0.141	-0.1898095	-0.002703078
0.142	-0.1911301	-0.002697791
0.143	-0.1924507	-0.002692504
0.144	-0.1937701	-0.002683546
0.145	-0.195089	-0.002672752
0.146	-0.1964078	-0.002661957
0.147	-0.1977258	-0.002649232
0.148	-0.199042	-0.002632645
0.149	-0.2003581	-0.002616058
0.15	-0.2016743	-0.002599471
0.151	-0.2029867	-0.002576822
0.152	-0.2042991	-0.002554172
0.153	-0.2056115	-0.002531523
0.154	-0.2069206	-0.002504662
0.155	-0.2082281	-0.002475696
0.156	-0.2095357	-0.00244673
0.157	-0.2108411	-0.00241558
0.158	-0.2121426	-0.002380061
0.159	-0.213444	-0.002344542
0.16	-0.2147454	-0.002309023
0.161	-0.2160394	-0.002266732
0.162	-0.2173334	-0.002224441
0.163	-0.2186275	-0.00218215
0.164	-0.2199156	-0.002135211
0.165	-0.2212009	-0.002085948
0.166	-0.2224862	-0.002036686
0.167	-0.2237681	-0.001985039
0.168	-0.2250432	-0.001928624
0.169	-0.2263183	-0.001872209
0.17	-0.2275934	-0.001815794
0.171	-0.2288569	-0.001752066
0.172	-0.2301203	-0.001688339
0.173	-0.2313838	-0.001624612
0.174	-0.2326384	-0.001555916
0.175	-0.2338887	-0.001484737
0.176	-0.2351389	-0.001413557
0.177	-0.2363843	-0.001339854
0.178	-0.2376198	-0.001261104
0.179	-0.2388552	-0.001182354
0.18	-0.2400907	-0.001103604
0.181	-0.2413098	-0.001017188
0.182	-0.2425288	-0.000930771
0.183	-0.2437479	-0.000844354
0.184	-0.2449549	-0.000752776
0.185	-0.2461559	-0.000658618
0.186	-0.2473569	-0.000564459
0.187	-0.2485512	-0.000467702
0.188	-0.2497324	-0.000365751
0.189	-0.2509136	-0.000263799
0.19	-0.2520948	-0.000161847
0.191	-0.2532545	-5.21E-05
0.192	-0.2544142	5.77E-05
0.193	-0.2555739	0.000167481
0.194	-0.2567181	0.000282477
0.195	-0.2578545	0.000400082
0.196	-0.258991	0.000517688
0.197	-0.2601191	0.000637899
0.198	-0.2612305	0.00076332
0.199	-0.262342	0.000888741
0.2	-0.2634534	0.001014161
0.201	-0.2645381	0.001147358
0.202	-0.2656228	0.001280554
0.203	-0.2667075	0.001413748
0.204	-0.2677732	0.001552087
0.205	-0.2688294	0.001692998
0.206	-0.2698856	0.001833908
0.207	-0.2709317	0.001977362
0.208	-0.2719577	0.002125902
0.209	-0.2729836	0.002274442
0.21	-0.2740096	0.00242298
0.211	-0.2750036	0.002579042
0.212	-0.2759976	0.002735105
0.213	-0.2769916	0.002891168
